Song,Date,Number of Plays
Ukraine,2020-01-18,60
Nigeria,2020-01-27,383
Chile,2020-01-24,113
Djibouti,2020-01-29,33
Morocco,2020-01-26,320
Djibouti,2020-01-03,470
Congo,2020-01-29,16
Afghanistan,2020-01-21,168
Chad,2020-01-24,143
Honduras,2020-01-30,100
Libyan Arab Jamahiriya,2020-01-05,116
Central African Republic,2020-01-18,158
Belgium,2020-01-26,403
Anguilla,2020-01-26,245
New Caledonia,2019-12-31,446
San Marino,2020-01-07,71
Congo,2020-01-30,162
Bermuda,2020-01-26,443
Ukraine,2020-01-24,35
Cocos (Keeling) Islands,2020-01-29,253
"Taiwan, Province of China",2020-01-10,177
Monaco,2020-01-24,199
Tunisia,2020-01-14,448
RWANDA,2020-01-08,368
Dominica,2020-01-21,490
"Korea, Republic of",2020-01-21,403
Nigeria,2020-01-13,17
Ghana,2020-01-25,187
Djibouti,2020-01-09,7
Yemen,2020-01-04,407
Thailand,2020-01-26,111
New Zealand,2020-01-01,16
Mauritius,2020-01-11,106
Mali,2020-01-08,354
Zimbabwe,2020-01-09,244
Jordan,2020-01-30,210
Libyan Arab Jamahiriya,2020-01-18,120
Benin,2020-01-17,167
Philippines,2020-01-13,383
Costa Rica,2020-01-20,46
Russian Federation,2020-01-23,75
French Guiana,2020-01-16,341
Brazil,2020-01-15,172
Cameroon,2020-01-25,34
American Samoa,2020-01-08,452
Japan,2020-01-31,492
Turkey,2020-01-08,335
Hong Kong,2020-01-21,120
Brunei Darussalam,2020-01-17,387
Isle of Man,2020-01-28,441
Sweden,2020-01-22,489
Sweden,2020-01-29,313
Bhutan,2020-01-07,62
Gabon,2020-01-18,236
Hong Kong,2020-01-15,279
Saint Vincent and the Grenadines,2020-01-26,248
British Indian Ocean Territory,2020-01-04,351
Qatar,2020-01-04,82
Nicaragua,2020-01-23,323
Antarctica,2020-01-15,24
Luxembourg,2020-01-25,85
"Tanzania, United Republic of",2020-01-01,301
Faroe Islands,2020-01-04,192
Libyan Arab Jamahiriya,2020-01-16,460
Guam,2020-01-29,70
Spain,2020-01-03,116
Syrian Arab Republic,2020-01-31,453
Switzerland,2020-01-02,156
Guatemala,2020-01-07,346
Kiribati,2020-01-25,168
"Korea, Republic of",2020-01-25,121
South Georgia and the South Sandwich Islands,2020-01-28,121
Palau,2020-01-29,162
Samoa,2020-01-23,174
Austria,2020-01-01,3
Papua New Guinea,2020-01-02,456
Honduras,2020-01-26,131
Tuvalu,2020-01-04,77
Spain,2020-01-01,30
Mali,2020-01-24,329
Saudi Arabia,2020-01-27,222
San Marino,2020-01-18,29
Uruguay,2020-01-25,306
Azerbaijan,2020-01-03,366
Albania,2020-01-15,1
Chile,2020-01-21,346
Belize,2020-01-09,73
Poland,2020-01-12,238
Cook Islands,2020-01-08,372
Guatemala,2020-01-22,184
Saint Helena,2020-01-21,231
Jordan,2020-01-31,72
Benin,2020-01-24,134
Estonia,2020-01-08,328
Cuba,2020-01-11,253
Timor-Leste,2020-01-16,373
Marshall Islands,2020-01-30,83
Bulgaria,2020-01-06,499
South Georgia and the South Sandwich Islands,2020-01-23,107
Vanuatu,2020-01-11,74
Guam,2020-01-05,130
Solomon Islands,2020-01-21,436
Thailand,2020-01-04,122
Iraq,2020-01-25,84
Uzbekistan,2020-01-28,124
Nauru,2020-01-02,395
Paraguay,2020-01-26,49
Trinidad and Tobago,2020-01-31,178
"Korea, Democratic People""S Republic of",2020-01-23,229
Mali,2020-01-25,17
South Georgia and the South Sandwich Islands,2020-01-23,350
Ireland,2020-01-29,245
Uganda,2020-01-28,177
Kyrgyzstan,2020-01-14,243
Kyrgyzstan,2020-01-08,303
Belarus,2020-01-30,305
Mongolia,2020-01-12,82
Guadeloupe,2020-01-08,494
Turkey,2020-01-22,424
Seychelles,2020-01-05,397
Pitcairn,2020-01-05,354
Turks and Caicos Islands,2020-01-20,80
Romania,2020-01-06,106
Nicaragua,2020-01-28,258
Åland Islands,2020-01-24,176
Cuba,2020-01-29,352
Canada,2020-01-23,444
Austria,2020-01-19,252
Tunisia,2020-01-07,370
Uzbekistan,2020-01-07,438
"Palestinian Territory, Occupied",2020-01-02,205
Madagascar,2020-01-01,84
Eritrea,2020-01-22,436
Cape Verde,2020-01-25,29
Mauritius,2020-01-14,162
Mongolia,2020-01-26,52
Algeria,2020-01-15,294
Northern Mariana Islands,2020-01-16,336
Solomon Islands,2020-01-15,309
Dominica,2020-01-07,415
Svalbard and Jan Mayen,2020-01-31,500
Colombia,2020-01-04,419
"Moldova, Republic of",2020-01-20,235
Madagascar,2020-01-03,496
United Arab Emirates,2020-01-20,199
Netherlands Antilles,2020-01-01,52
Belarus,2020-01-25,20
Morocco,2020-01-09,273
New Caledonia,2020-01-28,32
Canada,2020-01-29,400
Afghanistan,2020-01-05,454
Iceland,2020-01-07,246
Papua New Guinea,2020-01-16,156
Togo,2020-01-09,65
Austria,2020-01-29,182
"Korea, Democratic People""S Republic of",2020-01-17,395
Estonia,2020-01-13,158
Canada,2020-01-29,496
Afghanistan,2020-01-28,47
Albania,2020-01-07,191
Argentina,2020-01-05,324
Niger,2020-01-31,365
Gabon,2020-01-21,43
Senegal,2020-01-04,286
Lebanon,2020-01-13,339
Haiti,2020-01-15,186
Malta,2020-01-28,169
Comoros,2020-01-04,192
Lebanon,2020-01-11,146
Niue,2020-01-05,365
Saudi Arabia,2020-01-30,378
Dominican Republic,2020-01-24,37
Nigeria,2020-01-01,455
Venezuela,2020-01-27,388
Fiji,2020-01-05,394
Burundi,2020-01-17,285
Guadeloupe,2020-01-28,294
Cambodia,2020-01-30,219
Haiti,2020-01-13,497
Namibia,2020-01-15,418
Christmas Island,2020-01-21,190
Papua New Guinea,2020-01-02,290
Sudan,2020-01-06,136
Kyrgyzstan,2020-01-21,24
Djibouti,2020-01-06,20
Slovenia,2020-01-15,344
Cyprus,2020-01-27,142
Croatia,2020-01-23,365
Ghana,2020-01-13,185
"Lao People""S Democratic Republic",2020-01-22,132
Armenia,2020-01-27,51
Colombia,2020-01-22,497
Burkina Faso,2020-01-09,216
Zambia,2020-01-13,486
Slovenia,2020-01-20,31
"Moldova, Republic of",2020-01-16,131
Chad,2020-01-08,411
Mauritania,2020-01-18,366
Nicaragua,2020-01-16,440
Jordan,2020-01-28,223
Eritrea,2020-01-04,244
Mozambique,2020-01-12,491
Qatar,2020-01-02,101
Myanmar,2020-01-13,20
Montserrat,2020-01-07,151
Isle of Man,2020-01-08,184
Liberia,2020-01-04,478
Canada,2020-01-05,9
AndorrA,2020-01-27,85
Jordan,2020-01-29,372
Turkey,2020-01-21,420
Saint Lucia,2020-01-10,452
Tokelau,2020-01-07,467
Saint Kitts and Nevis,2020-01-31,65
Aruba,2020-01-07,308
Jamaica,2020-01-25,430
Uzbekistan,2020-01-28,194
Philippines,2020-01-04,218
Afghanistan,2020-01-17,117
Israel,2020-01-22,44
Ghana,2020-01-30,288
Vanuatu,2020-01-13,101
Japan,2020-01-14,267
Kiribati,2020-01-01,157
American Samoa,2020-01-07,456
Croatia,2020-01-22,473
Anguilla,2020-01-08,65
Greece,2020-01-01,424
Bermuda,2020-01-18,407
New Caledonia,2020-01-08,465
San Marino,2020-01-10,381
Algeria,2020-01-19,374
French Polynesia,2020-01-22,332
Aruba,2020-01-31,315
"Taiwan, Province of China",2020-01-10,331
Canada,2020-01-13,133
"Virgin Islands, U.S.",2020-01-26,423
Yemen,2020-01-27,134
Trinidad and Tobago,2020-01-16,361
Brunei Darussalam,2020-01-13,337
Chad,2020-01-31,77
Belgium,2020-01-22,383
Wallis and Futuna,2020-01-02,440
Mayotte,2020-01-30,355
Guyana,2020-01-22,233
Marshall Islands,2020-01-14,258
Costa Rica,2020-01-25,431
Marshall Islands,2020-01-17,481
Latvia,2020-01-27,136
Germany,2020-01-22,252
Fiji,2020-01-05,491
Aruba,2020-01-01,55
Zambia,2020-01-04,434
Turkey,2020-01-20,184
United Arab Emirates,2020-01-27,19
Isle of Man,2020-01-28,436
Bolivia,2020-01-04,31
Azerbaijan,2020-01-08,287
Bosnia and Herzegovina,2020-01-18,496
Western Sahara,2020-01-05,4
Mayotte,2020-01-16,100
Greenland,2020-01-24,121
Zimbabwe,2020-01-28,184
New Zealand,2020-01-27,496
Saint Kitts and Nevis,2020-01-14,34
"Congo, The Democratic Republic of the",2020-01-12,7
Guatemala,2020-01-15,221
Canada,2020-01-28,457
Grenada,2020-01-26,286
Mali,2020-01-23,442
"Cote D""Ivoire",2020-01-03,444
"Cote D""Ivoire",2020-01-16,246
Mali,2020-01-30,78
Lithuania,2020-01-16,491
Japan,2020-01-18,450
Mauritania,2020-01-15,332
Saint Kitts and Nevis,2020-01-16,312
Honduras,2020-01-12,131
Tuvalu,2020-01-09,190
Monaco,2020-01-02,319
Jersey,2020-01-24,88
Mayotte,2020-01-17,12
Costa Rica,2020-01-23,241
South Africa,2020-01-29,10
Canada,2020-01-03,271
Gambia,2020-01-06,116
"Iran, Islamic Republic Of",2020-01-27,202
Guernsey,2020-01-07,282
Colombia,2020-01-11,77
Barbados,2020-01-19,493
Falkland Islands (Malvinas),2020-01-16,253
Zambia,2020-01-24,473
Austria,2020-01-23,33
Somalia,2020-01-15,323
Vanuatu,2020-01-14,267
AndorrA,2020-01-27,166
Afghanistan,2020-01-17,90
Bermuda,2020-01-15,414
Nepal,2020-01-07,133
Angola,2020-01-03,306
Sierra Leone,2020-01-03,206
Kyrgyzstan,2020-01-29,402
Belize,2020-01-30,496
"Palestinian Territory, Occupied",2020-01-25,498
Lebanon,2020-01-01,475
India,2020-01-23,253
Sierra Leone,2020-01-02,380
Gabon,2020-01-09,339
Cameroon,2020-01-13,89
Turkmenistan,2020-01-14,323
Italy,2020-01-04,227
Azerbaijan,2020-01-29,55
Georgia,2020-01-22,496
Cook Islands,2020-01-17,250
French Southern Territories,2020-01-05,339
American Samoa,2020-01-24,45
Finland,2020-01-08,13
