Song,Date,Total Number of Plays for Date
Afghanistan,2019-12-31,362
Afghanistan,2020-01-01,4001
Afghanistan,2020-01-02,2417
Afghanistan,2020-01-03,4399
Afghanistan,2020-01-04,2841
Afghanistan,2020-01-05,6143
Afghanistan,2020-01-06,2747
Afghanistan,2020-01-07,5176
Afghanistan,2020-01-08,2562
Afghanistan,2020-01-09,5019
Afghanistan,2020-01-10,4040
Afghanistan,2020-01-11,3451
Afghanistan,2020-01-12,5849
Afghanistan,2020-01-13,3853
Afghanistan,2020-01-14,3979
Afghanistan,2020-01-15,2714
Afghanistan,2020-01-16,3774
Afghanistan,2020-01-17,5344
Afghanistan,2020-01-18,3171
Afghanistan,2020-01-19,1266
Afghanistan,2020-01-20,3446
Afghanistan,2020-01-21,1964
Afghanistan,2020-01-22,3001
Afghanistan,2020-01-23,3857
Afghanistan,2020-01-24,2246
Afghanistan,2020-01-25,3875
Afghanistan,2020-01-26,2407
Afghanistan,2020-01-27,5138
Afghanistan,2020-01-28,1220
Afghanistan,2020-01-29,3130
Afghanistan,2020-01-30,3225
Afghanistan,2020-01-31,4468
Albania,2019-12-31,1177
Albania,2020-01-01,3559
Albania,2020-01-02,2687
Albania,2020-01-03,3534
Albania,2020-01-04,2783
Albania,2020-01-05,2491
Albania,2020-01-06,2175
Albania,2020-01-07,2828
Albania,2020-01-08,3603
Albania,2020-01-09,1532
Albania,2020-01-10,2106
Albania,2020-01-11,3759
Albania,2020-01-12,4269
Albania,2020-01-13,3902
Albania,2020-01-14,2687
Albania,2020-01-15,3020
Albania,2020-01-16,2356
Albania,2020-01-17,3624
Albania,2020-01-18,4371
Albania,2020-01-19,3646
Albania,2020-01-20,1975
Albania,2020-01-21,3874
Albania,2020-01-22,3314
Albania,2020-01-23,2640
Albania,2020-01-24,2322
Albania,2020-01-25,1514
Albania,2020-01-26,2344
Albania,2020-01-27,2168
Albania,2020-01-28,5466
Albania,2020-01-29,3632
Albania,2020-01-30,3013
Albania,2020-01-31,3586
Algeria,2019-12-31,976
Algeria,2020-01-01,3385
Algeria,2020-01-02,2446
Algeria,2020-01-03,3041
Algeria,2020-01-04,3534
Algeria,2020-01-05,3222
Algeria,2020-01-06,3496
Algeria,2020-01-07,5490
Algeria,2020-01-08,2247
Algeria,2020-01-09,3916
Algeria,2020-01-10,2957
Algeria,2020-01-11,4598
Algeria,2020-01-12,3072
Algeria,2020-01-13,2964
Algeria,2020-01-14,4090
Algeria,2020-01-15,4352
Algeria,2020-01-16,3919
Algeria,2020-01-17,4520
Algeria,2020-01-18,2747
Algeria,2020-01-19,4150
Algeria,2020-01-20,1459
Algeria,2020-01-21,4379
Algeria,2020-01-22,1839
Algeria,2020-01-23,2840
Algeria,2020-01-24,1921
Algeria,2020-01-25,2799
Algeria,2020-01-26,4137
Algeria,2020-01-27,3256
Algeria,2020-01-28,3540
Algeria,2020-01-29,2169
Algeria,2020-01-30,4571
Algeria,2020-01-31,3897
American Samoa,2019-12-31,278
American Samoa,2020-01-01,3193
American Samoa,2020-01-02,3633
American Samoa,2020-01-03,1673
American Samoa,2020-01-04,2729
American Samoa,2020-01-05,3475
American Samoa,2020-01-06,3695
American Samoa,2020-01-07,6100
American Samoa,2020-01-08,4881
American Samoa,2020-01-09,4553
American Samoa,2020-01-10,4636
American Samoa,2020-01-11,4543
American Samoa,2020-01-12,4859
American Samoa,2020-01-13,5337
American Samoa,2020-01-14,4089
American Samoa,2020-01-15,4629
American Samoa,2020-01-16,3810
American Samoa,2020-01-17,3961
American Samoa,2020-01-18,4374
American Samoa,2020-01-19,1572
American Samoa,2020-01-20,4063
American Samoa,2020-01-21,3445
American Samoa,2020-01-22,4274
American Samoa,2020-01-23,3730
American Samoa,2020-01-24,2662
American Samoa,2020-01-25,3693
American Samoa,2020-01-26,1951
American Samoa,2020-01-27,2584
American Samoa,2020-01-28,2631
American Samoa,2020-01-29,3321
American Samoa,2020-01-30,2200
American Samoa,2020-01-31,1515
AndorrA,2020-01-01,3795
AndorrA,2020-01-02,2889
AndorrA,2020-01-03,4768
AndorrA,2020-01-04,2900
AndorrA,2020-01-05,3292
AndorrA,2020-01-06,4467
AndorrA,2020-01-07,2462
AndorrA,2020-01-08,6101
AndorrA,2020-01-09,1992
AndorrA,2020-01-10,3844
AndorrA,2020-01-11,1809
AndorrA,2020-01-12,4844
AndorrA,2020-01-13,3739
AndorrA,2020-01-14,2942
AndorrA,2020-01-15,2601
AndorrA,2020-01-16,4384
AndorrA,2020-01-17,1173
AndorrA,2020-01-18,2142
AndorrA,2020-01-19,2842
AndorrA,2020-01-20,5066
AndorrA,2020-01-21,861
AndorrA,2020-01-22,2932
AndorrA,2020-01-23,5180
AndorrA,2020-01-24,3208
AndorrA,2020-01-25,2175
AndorrA,2020-01-26,2923
AndorrA,2020-01-27,3236
AndorrA,2020-01-28,4032
AndorrA,2020-01-29,4449
AndorrA,2020-01-30,3137
AndorrA,2020-01-31,1663
Angola,2019-12-31,698
Angola,2020-01-01,3329
Angola,2020-01-02,4145
Angola,2020-01-03,3618
Angola,2020-01-04,3755
Angola,2020-01-05,3502
Angola,2020-01-06,2254
Angola,2020-01-07,3227
Angola,2020-01-08,3713
Angola,2020-01-09,1170
Angola,2020-01-10,3562
Angola,2020-01-11,2865
Angola,2020-01-12,3653
Angola,2020-01-13,4602
Angola,2020-01-14,2185
Angola,2020-01-15,3208
Angola,2020-01-16,3535
Angola,2020-01-17,707
Angola,2020-01-18,4538
