Song,Date,Number of Plays
Padang,2020-05-07,425
Buenos Aires,2020-05-11,718
Sabha,2020-04-07,213
Cartagena,2020-01-23,174
Durban,2020-03-11,519
Cockburn Town,2020-02-18,380
Ouagadougou,2020-03-28,1762
Brazzaville,2020-05-30,826
Jerusalem,2020-01-10,1341
Saint-Denis,2020-02-12,903
Pittsburgh,2020-02-25,699
Gold Coast,2020-03-12,482
Enugu,2020-03-15,469
Bilbao,2020-05-17,1850
Jamestown,2020-02-04,1714
Johor Bahru,2020-05-13,1395
Mexicali,2020-04-13,1817
Charlotte,2020-03-03,935
Funafuti,2020-02-11,1178
N'Djamena,2020-05-30,1615
Muscat,2020-02-02,1772
Hyderabad,2020-03-23,316
Fortaleza,2020-01-18,989
Shenyang,2020-04-27,1159
Pune,2020-02-14,712
George Town,2020-03-01,621
Willemstad,2020-02-08,1892
Hat Yai,2020-05-19,1886
Canberra,2020-04-10,1532
Cork (city),2020-05-04,328
Mumbai,2020-02-09,860
Xining,2020-02-10,340
São Paulo,2020-03-15,413
Luanda,2020-03-27,963
Hamburg,2020-01-17,652
Kaliningrad,2020-05-24,913
Magadan,2020-03-08,337
City of Halifax,2020-03-31,1454
Rochester,2020-05-21,482
London,2020-04-25,1440
Invercargill,2020-01-24,1771
Bergen,2020-02-18,1665
Novosibirsk,2020-05-12,1935
Lomé,2020-02-21,1436
Kunming,2020-02-15,1733
Surabaya,2020-05-18,1028
Chongjin,2020-04-16,831
Macau,2020-04-09,1179
Lyon,2020-05-25,642
Port of Spain,2020-05-04,1006
Alexandria,2020-02-28,1338
Durban,2020-04-30,211
São José dos Campos,2020-05-15,1909
Kraków,2020-02-28,1696
Lilongwe,2020-01-15,1633
Phoenix,2020-02-05,707
Brasília,2020-03-08,1737
Bratislava,2020-05-27,1598
Sri Jayawardenapura-Kotte,2020-04-24,230
Kabul,2020-04-03,155
Colombo,2020-02-17,445
Santa Cruz de Tenerife,2020-01-05,118
Brikama,2020-03-10,1491
Punta Arenas,2020-04-28,1548
Mata-Utu,2020-01-01,1553
Mogadishu,2020-02-23,518
Colombo,2020-03-09,1502
Castries,2020-05-27,1355
Bulawayo,2020-02-20,428
Cusco,2020-02-03,1983
Quito,2020-04-01,821
Dushanbe,2020-04-19,176
Beirut,2020-04-11,1041
Medellín,2020-02-18,1465
Weno,2020-02-12,816
Yokohama,2020-03-26,774
Lilongwe,2020-01-31,1196
Chiang Mai,2020-04-15,366
Toulouse,2020-04-28,177
Gold Coast,2020-02-04,1038
Dresden,2020-01-07,1969
Saskatoon,2020-01-10,1488
Detroit,2020-05-01,600
Alofi,2020-03-26,1930
New Orleans,2020-01-15,1690
Chongjin,2020-01-25,1406
Moroni,2020-02-04,1618
Port-au-Prince,2020-04-01,1608
Hagåtña,2020-05-08,625
Ankara,2020-03-12,1571
Udon Thani,2020-02-17,1232
Nagpur,2020-05-15,1334
Hagåtña,2020-05-13,1049
Ushuaia,2020-02-16,1815
Surabaya,2020-01-24,1821
Balikpapan,2020-04-19,1284
Incheon,2020-05-12,572
Suez,2020-04-17,1721
Fukuoka,2020-05-28,1586
Tripoli,2020-03-15,1616
Douglas,2020-02-02,1882
San Juan,2020-05-14,294
Ludhiana,2020-04-26,750
Rochester,2020-04-30,993
İzmir,2020-04-20,1921
Sydney,2020-03-03,1414
Ankara,2020-05-13,127
Anadyr (town),2020-02-15,1908
Austin,2020-01-04,954
Guayaquil,2020-01-04,921
Lilongwe,2020-01-29,1435
Basra,2020-04-23,724
Townsville,2020-01-26,1239
Dili,2020-02-06,685
Puebla,2020-01-31,832
Iquique,2020-05-12,1552
Kingston,2020-02-17,855
Miami,2020-05-05,1810
Osaka,2020-03-07,1125
Zhengzhou,2020-03-19,929
Charlotte Amalie,2020-03-26,1584
Tbilisi,2020-05-12,1842
Kobe,2020-03-15,486
Omsk,2020-03-20,837
Cotonou,2020-05-17,1142
Gothenburg,2020-04-09,1501
Chişinău,2020-02-24,1579
Alor Star,2020-03-09,411
Málaga,2020-05-03,801
Christchurch,2020-05-17,256
Hyderabad,2020-01-05,274
Belmopan,2020-03-25,792
Canberra,2020-02-10,1171
Aarhus,2020-02-10,341
Jayapura,2020-04-03,783
Budapest,2020-01-03,1809
Nukus,2020-03-17,195
Francistown,2020-02-08,1182
San José,2020-02-16,114
Hong Kong,2020-03-14,903
Moroni,2020-03-06,1068
Macapá,2020-04-22,175
Asunción,2020-04-25,899
Mogadishu,2020-02-01,1775
Edmonton,2020-01-31,336
Paris,2020-03-27,1193
Cartagena,2020-05-29,1420
Indianapolis,2020-01-17,1147
Freetown,2020-03-16,1729
Cork (city),2020-02-21,117
Yaoundé,2020-02-05,410
Milwaukee,2020-04-02,1948
Porto,2020-04-18,207
Willemstad,2020-01-30,1513
Ho Chi Minh City,2020-03-10,1528
Barranquilla,2020-02-10,1805
Bucharest,2020-03-08,284
Vilnius,2020-05-03,423
Alexandria,2020-05-22,509
San Francisco,2020-03-25,1191
Koulikoro,2020-03-16,222
Wuhan,2020-01-28,1884
Edmonton,2020-01-01,824
Kota Bharu,2020-04-10,1572
Sitka,2020-02-25,1667
El Paso,2020-01-21,1835
Mumbai,2020-02-11,593
Zhengzhou,2020-03-27,858
Beirut,2020-05-25,1260
Phnom Penh,2020-05-21,1798
Birmingham,2020-03-26,833
Quebec City,2020-03-02,1576
